hour,value,site,season,case,var
15,1.0,UK-MCR,Summer,cntl,TSA_U
16,0.9714048,UK-MCR,Summer,cntl,TSA_U
17,0.91838795,UK-MCR,Summer,cntl,TSA_U
18,0.8332643,UK-MCR,Summer,cntl,TSA_U
19,0.70965505,UK-MCR,Summer,cntl,TSA_U
20,0.5764102,UK-MCR,Summer,cntl,TSA_U
21,0.45443282,UK-MCR,Summer,cntl,TSA_U
22,0.3615887,UK-MCR,Summer,cntl,TSA_U
23,0.2841431,UK-MCR,Summer,cntl,TSA_U
0,0.42085713,UK-MCR,Summer,cntl,TBUILD
1,0.34054944,UK-MCR,Summer,cntl,TBUILD
2,0.2615824,UK-MCR,Summer,cntl,TBUILD
3,0.18593407,UK-MCR,Summer,cntl,TBUILD
4,0.11076923,UK-MCR,Summer,cntl,TBUILD
5,0.044087913,UK-MCR,Summer,cntl,TBUILD
6,0.0,UK-MCR,Summer,cntl,TBUILD
7,0.036373626,UK-MCR,Summer,cntl,TBUILD
8,0.14573626,UK-MCR,Summer,cntl,TBUILD
9,0.27327472,UK-MCR,Summer,cntl,TBUILD
10,0.3810989,UK-MCR,Summer,cntl,TBUILD
11,0.49892306,UK-MCR,Summer,cntl,TBUILD
12,0.61846155,UK-MCR,Summer,cntl,TBUILD
13,0.7356923,UK-MCR,Summer,cntl,TBUILD
14,0.8329011,UK-MCR,Summer,cntl,TBUILD
15,0.9215385,UK-MCR,Summer,cntl,TBUILD
16,0.97613186,UK-MCR,Summer,cntl,TBUILD
17,1.0,UK-MCR,Summer,cntl,TBUILD
18,0.9821978,UK-MCR,Summer,cntl,TBUILD
19,0.9142198,UK-MCR,Summer,cntl,TBUILD
20,0.81443954,UK-MCR,Summer,cntl,TBUILD
21,0.7056923,UK-MCR,Summer,cntl,TBUILD
22,0.61010987,UK-MCR,Summer,cntl,TBUILD
23,0.5206813,UK-MCR,Summer,cntl,TBUILD
0,0.10808836,UK-MCR,Winter,cntl,TG_U
1,0.10301349,UK-MCR,Winter,cntl,TG_U
2,0.07980738,UK-MCR,Winter,cntl,TG_U
3,0.060348485,UK-MCR,Winter,cntl,TG_U
4,0.040622495,UK-MCR,Winter,cntl,TG_U
5,0.012192247,UK-MCR,Winter,cntl,TG_U
6,0.0,UK-MCR,Winter,cntl,TG_U
7,0.0022860465,UK-MCR,Winter,cntl,TG_U
8,0.009788364,UK-MCR,Winter,cntl,TG_U
9,0.1361808,UK-MCR,Winter,cntl,TG_U
10,0.44553554,UK-MCR,Winter,cntl,TG_U
11,0.7177086,UK-MCR,Winter,cntl,TG_U
12,0.9106949,UK-MCR,Winter,cntl,TG_U
13,1.0,UK-MCR,Winter,cntl,TG_U
14,0.9548525,UK-MCR,Winter,cntl,TG_U
15,0.80001414,UK-MCR,Winter,cntl,TG_U
16,0.60983235,UK-MCR,Winter,cntl,TG_U
17,0.4508932,UK-MCR,Winter,cntl,TG_U
18,0.34299338,UK-MCR,Winter,cntl,TG_U
19,0.28033528,UK-MCR,Winter,cntl,TG_U
20,0.22811759,UK-MCR,Winter,cntl,TG_U
21,0.18143825,UK-MCR,Winter,cntl,TG_U
22,0.15171179,UK-MCR,Winter,cntl,TG_U
23,0.12556759,UK-MCR,Winter,cntl,TG_U
0,0.13183542,UK-MCR,Winter,cntl,TSA_U
1,0.1230091,UK-MCR,Winter,cntl,TSA_U
2,0.08875616,UK-MCR,Winter,cntl,TSA_U
3,0.056920744,UK-MCR,Winter,cntl,TSA_U
4,0.041240044,UK-MCR,Winter,cntl,TSA_U
5,0.025673114,UK-MCR,Winter,cntl,TSA_U
6,0.0,UK-MCR,Winter,cntl,TSA_U
7,0.01149981,UK-MCR,Winter,cntl,TSA_U
8,0.0036215396,UK-MCR,Winter,cntl,TSA_U
9,0.029910883,UK-MCR,Winter,cntl,TSA_U
10,0.1613576,UK-MCR,Winter,cntl,TSA_U
11,0.44794273,UK-MCR,Winter,cntl,TSA_U
12,0.71327263,UK-MCR,Winter,cntl,TSA_U
13,0.9115567,UK-MCR,Winter,cntl,TSA_U
14,1.0,UK-MCR,Winter,cntl,TSA_U
15,0.96906525,UK-MCR,Winter,cntl,TSA_U
16,0.8302427,UK-MCR,Winter,cntl,TSA_U
17,0.65403867,UK-MCR,Winter,cntl,TSA_U
18,0.51570916,UK-MCR,Winter,cntl,TSA_U
19,0.4115093,UK-MCR,Winter,cntl,TSA_U
20,0.3304418,UK-MCR,Winter,cntl,TSA_U
21,0.2615093,UK-MCR,Winter,cntl,TSA_U
22,0.20226583,UK-MCR,Winter,cntl,TSA_U
23,0.16241941,UK-MCR,Winter,cntl,TSA_U
0,,UK-MCR,Winter,cntl,TBUILD
1,,UK-MCR,Winter,cntl,TBUILD
2,,UK-MCR,Winter,cntl,TBUILD
3,,UK-MCR,Winter,cntl,TBUILD
4,,UK-MCR,Winter,cntl,TBUILD
5,,UK-MCR,Winter,cntl,TBUILD
6,,UK-MCR,Winter,cntl,TBUILD
7,,UK-MCR,Winter,cntl,TBUILD
8,,UK-MCR,Winter,cntl,TBUILD
9,,UK-MCR,Winter,cntl,TBUILD
10,,UK-MCR,Winter,cntl,TBUILD
11,,UK-MCR,Winter,cntl,TBUILD
12,,UK-MCR,Winter,cntl,TBUILD
13,,UK-MCR,Winter,cntl,TBUILD
14,,UK-MCR,Winter,cntl,TBUILD
15,,UK-MCR,Winter,cntl,TBUILD
16,,UK-MCR,Winter,cntl,TBUILD
17,,UK-MCR,Winter,cntl,TBUILD
18,,UK-MCR,Winter,cntl,TBUILD
19,,UK-MCR,Winter,cntl,TBUILD
20,,UK-MCR,Winter,cntl,TBUILD
21,,UK-MCR,Winter,cntl,TBUILD
22,,UK-MCR,Winter,cntl,TBUILD
23,,UK-MCR,Winter,cntl,TBUILD
0,0.3330179,UK-MCR,Summer,traffic,TRAFFICFLUX
1,0.16645317,UK-MCR,Summer,traffic,TRAFFICFLUX
2,0.16647361,UK-MCR,Summer,traffic,TRAFFICFLUX
3,0.0,UK-MCR,Summer,traffic,TRAFFICFLUX
